NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
05344,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL",406,17.66,0.11,0.11,9.994,16.793,5.423,141
05672,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,CKD,BRSD",176,24.55,0,0,2.346,3.449,1.556,141
21428,"KFC,FRIED CHICK,ORIGINAL RECIPE,WING,MEAT ONLY,SKN BRDNG RD",216,28.65,1.76,,2.321,5.115,2.095,141
35160,"CARIBOU,RUMP MEAT,HALF DRIED (ALASKA NATIVE)",255,52.06,0,0,1.55,1.19,0.63,141
05346,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI",197,27.69,0,0,2.223,3.766,1.323,140
05352,"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",266,24.34,0.04,0.04,4.814,8.109,2.69,140
19182,"DESSERTS,MOUSSE,CHOC,PREPARED-FROM-RECIPE",225,4.14,16.07,14.81,9.151,5.027,0.879,140
21013,"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",296,12.45,11.84,,11.497,7.495,1.552,140
05677,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD",229,22.57,0,0,4.253,6.488,2.963,139
05715,"TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,CKD,RSTD",414,24.58,0,0,10.184,13.718,10.794,139
17111,"VEAL,RIB,LN&FAT,CKD,BRSD",251,32.43,0,0,4.95,4.65,0.94,139
21385,"BURGER KING,CROISSAN'WICH W/ EGG & CHS",283,10.35,24.79,4.03,4.766,6.668,2.93,139
15150,"SHRIMP,MXD SP,CKD,BREADED&FRIED",242,21.39,11.47,0.8,2.087,3.812,5.085,138
01053,"CREAM,FLUID,HVY WHIPPING",345,2.05,2.79,2.79,23.032,10.686,1.374,137
15243,"CRAYFISH,MXD SP,FARMED,CKD,MOIST HEAT",87,17.52,0,,0.216,0.251,0.413,137
21046,"ENTREES,CRAB CAKE",266,18.75,8.52,,3.74,7.18,5.13,137
21426,"KFC,FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT ONLY,SKN BRG RD",175,26.3,0.11,,1.838,2.816,1.963,137
21431,"KFC,FRIED CHICK,EX CRISPY,DRUMSTK,MEAT ONLY,SKN & BRDNG RMVD",170,25.9,0,,1.893,2.903,2.051,137
05025,"CHICKEN,HEART,ALL CLASSES,RAW",153,15.55,0.71,,2.66,2.37,2.71,136
05315,"DUCK,YNG DUCKLING,DOM,WH PEKIN,BRST,MEAT&SKN,BNLESS,CKD,RSTD",202,24.5,0,,2.922,5.428,1.632,136
05320,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",242,22.24,3.36,1.94,3.966,6.737,2.838,136
05680,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,ENHANCED,CKD,BRSD",149,22.99,0,0,1.73,2.62,1.349,135
17100,"VEAL,LEG (TOP RND),LN,CKD,BRSD",203,36.71,0,,1.92,1.84,0.41,135
17191,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",122,16.47,0.21,,2.25,1.6,0.55,135
05184,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",206,27.27,0.07,0,2.93,3.594,2.867,134
05339,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING,MEAT ONLY",184,28.34,0.54,0.53,2.134,3.61,1.266,134
17095,"VEAL,LEG (TOP RND),LN&FAT,CKD,BRSD",211,36.16,0,0,2.53,2.36,0.47,134
05094,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD",232,23.26,0,0,4.111,6.257,2.993,133
05098,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,RSTD",179,24.76,0,0,2.311,3.361,1.695,133
05687,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,ENHANCED,BRSD",183,21.55,0.13,0,2.923,4.58,2.242,133
15146,"CRAYFISH,MXD SP,WILD,CKD,MOIST HEAT",82,16.77,0,0,0.181,0.244,0.367,133
19407,"SNACKS,BF STKS,SMOKED",550,21.5,5.4,,20.8,20.47,4.42,133
21410,"FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT",295,12.98,22.64,2.87,6.396,6.026,2.603,133
21465,"FAST FOODS,FRIED CHICK,DRMSTK,MEAT ONLY,SKN & BRDING REMOVED",172,26.24,0,0,2.004,2.933,1.675,133
05351,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",233,22.93,0.02,0.02,4.123,6.979,2.334,132
05671,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT OLY,CKD,BRSD",149,23.93,0,0,1.601,2.375,1.28,132
05675,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD",462,16.57,0,0,12.146,19.185,8.787,132
05676,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MT & SKN,CKD,BRSD",187,22.72,0,0,2.939,4.493,2.232,132
13340,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,SIMMRD",284,19.29,0,0,8.125,10.102,0.746,132
21305,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& SAUSAGE",291,10.77,22.04,7.9,5.649,6.718,2.26,132
21329,"MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES",283,10.77,22.04,7.9,5.649,6.718,2.26,132
05308,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",259,22.27,0,0,5.05,8,3.6,131
10103,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",118,17.27,1.33,0,1.16,1.02,1.12,131
21445,"POPEYES,FRIED CHCK,MILD,THIGH,MEAT ONLY,SKN & BRDING REMOVED",188,24.31,0.85,,2.938,4.107,1.499,131
05069,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,RSTD",191,23.35,0,0,2.74,4.155,2.083,130
05073,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",155,24.24,0,0,1.505,2.181,1.202,130
05301,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",272,11.39,0,,7.45,10.44,4.96,130
05345,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",196,24.06,0,0,2.866,4.878,1.673,130
05673,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,BRSD",443,14.61,0,0,11.914,18.697,8.615,130
15178,"WHELK,UNSPEC,CKD,MOIST HEAT",275,47.68,15.52,,0.062,0.056,0.046,130
17120,"VEAL,SHLDR,WHL (ARM&BLD),LN,CKD,BRSD",199,33.68,0,,1.7,2.18,0.55,130
21411,"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",282,15.95,22.99,2.97,5.419,4.997,1.849,130
05362,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING MEAT & SKN",257,23.42,0.6,0.6,4.627,7.332,2.177,129
05627,"EMU,FULL RUMP,CKD,BRLD",168,33.67,0,0,0.87,1.079,0.613,129
10175,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,CKD,SIMMRD",396,17,0,,12.45,16.89,3.94,129
17176,"GAME MEAT,OPOSSUM,CKD,RSTD",221,30.2,0,0,1.206,3.773,2.983,129
05082,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,RSTD",174,24.22,0,0,2.108,3.052,1.605,128
05180,"TURKEY FROM WHL,NECK,MEAT ONLY,CKD,SIMMRD",162,22.48,0,0,2.216,2.527,2.038,128
05188,"TURKEY,FROM WHL,DK MEAT,CKD,RSTD",173,27.71,0,0,1.807,2.061,1.662,128
05216,"TURKEY,BACK,FROM WHL BIRD,NON-ENHANCED,MEAT ONLY,RSTD",173,27.71,0,0,1.807,2.061,1.662,128
05334,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH,MEAT ONLY",193,24.09,0,0,2.777,4.727,1.621,128
05347,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",260,23.23,0.03,0.03,4.924,8.162,2.723,128
05689,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,ENHANCED,CKD,RSTD",180,24.72,0.05,0,2.656,4.058,2.177,128
05692,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,CKD,RSTD",214,23.47,0.09,0,4.145,6.392,3.275,128
05741,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD",165,27.71,0,0,1.807,2.061,1.662,128
05078,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",184,24.03,0,0,2.446,3.564,1.855,127
05361,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH MEAT & SKN",226,22.51,0.12,0.12,3.927,6.446,2.038,127
15147,"LOBSTER,NORTHERN,RAW",77,16.52,0,0,0.181,0.22,0.296,127
17087,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN,CKD,BRSD",285,34.06,0,,6.81,6.14,0.95,127
21443,"POPEYES,FRIED CHICK,MILD,DRUMSTK,MEAT ONLY,SKN & BREADING RE",170,26.51,0.04,,2.282,3.079,1.011,127
05312,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",211,19.67,3.34,2.04,3.321,5.766,2.359,126
05681,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,ENHANCED,CKD,BRSD",164,23,0,0,2.04,3.027,1.346,126
15025,"EEL,MIXED SPECIES,RAW",184,18.44,0,0,2.358,7.19,0.947,126
15149,"SHRIMP,MIXED SPECIES,RAW",71,13.61,0.91,0,0.261,0.181,0.295,126
17117,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD",228,32.06,0,0,3.75,3.9,0.73,126
17145,"GAME MEAT,ANTELOPE,CKD,RSTD",150,29.45,0,,0.97,0.63,0.58,126
17279,"VEAL,SHANK (FORE&HIND),LN,CKD,BRSD",177,32.22,0,,1.14,1.546,0.458,126
17378,"LAMB,NZ,IMP,TONGUE - SWISS CUT,CKD,SOAKED & SIMMRD",272,17.51,0.86,0,7.341,7.761,1.258,126
05690,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,CKD,BRSD",215,20.7,0.21,0,3.881,6.073,2.775,125
17108,"VEAL,LOIN,LN,CKD,BRSD",226,33.57,0,0,2.55,3.27,0.82,125
21466,"FAST FOODS,FRIED CHICK,THIGH,MEAT ONLY,SKN & BREDING REMOVED",178,23.21,0.24,0,2.484,3.908,1.543,125
05679,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,ENHANCED,CKD,RSTD",146,25.34,0,0,1.438,2.03,1.203,124
05684,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,BRSD",403,12.26,1,0,10.605,17.201,7.994,124
13321,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",112,17.72,0.14,0,1.383,1.137,0.546,124
17277,"VEAL,SHANK (FORE&HIND),LN&FAT,CKD,BRSD",191,31.54,0,,2.078,2.339,0.541,124
23415,"BEEF,NZ,IMP,HEART,RAW",105,18.52,0,0,0.857,0.533,0.579,124
01034,"CHEESE,PORT DE SALUT",352,23.78,0.57,0.57,16.691,9.338,0.729,123
05341,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,ROTISSERIE,ORI",205,25.34,0,0,3.007,4.898,1.701,123
07278,HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,243,30.99,3.78,0,3.52,4.65,3.32,123
17085,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD",357,28.21,0,,12.74,10.22,1.33,123
17181,"GAME MEAT,RABBIT,WILD,CKD,STWD",173,33.02,0,0,1.05,0.95,0.68,123
17265,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CKD,BRSD",342,29.43,0,,11.5,9.37,1.25,123
21014,"FAST FOODS,CROISSANT,W/EGG,CHS,&SAUSAGE",308,12.09,15.9,3.12,8.342,7.838,4.212,123
21383,"BURGER KING,CROISSAN'WICH W/ SAUSAGE,EGG & CHS",308,12.09,15.9,3.12,8.342,7.838,4.212,123
05169,"TURKEY,SKN FROM WHL,(LIGHT & DARK),RAW",407,12.96,0.06,0.1,10.43,13.908,10.922,122
05683,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,ENHANCED,CKD,RSTD",164,24.23,0,0,2.405,3.463,1.863,122
13341,"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",85,12.07,0,0,1.291,1.533,0.18,122
21427,"KFC,FRIED CHICK,ORIGINAL RECIPE,THIGH,MEAT ONLY,SKN BRDNG RD",175,22.78,0.01,,2.308,3.83,1.561,122
35009,"WHALE,BELUGA,MEAT,DRIED (ALASKA NATIVE)",327,69.86,0,0,1.204,3.345,0.319,122
10089,"PORK,FRSH,SPARERIBS,LN&FAT,CKD,BRSD",397,29.06,0,0,11.12,13.48,2.73,121
13812,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",309,30.2,0,0,7.902,8.583,0.757,121
17048,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRSD",279,35.54,0,,5.03,6.17,0.92,121
17175,"GAME MEAT,MUSKRAT,CKD,RSTD",234,30.09,0,,,,,121
17184,"GAME MEAT,SQUIRREL,CKD,RSTD",173,30.77,0,0,0.54,1.786,1.683,121
17393,"LAMB,NZ,IMP,NECK CHOPS,LN,CKD,BRSD",264,31.4,0,0,6.085,4.206,0.672,121
35170,"SEAL,BEARDED (OOGRUK),MEAT,LO QUADRANT,RAW (ALASKA NATIVE)",186,23.63,0,0,,,,121
05356,"CHICKEN,BROILER,ROTISSERIE,BBQ,SKIN",378,15.19,0.7,0.7,9.333,14.464,4.018,120
05737,"TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,CKD,RSTD",197,28.21,0,0,2.588,3.79,3.09,120
07005,BLOOD SAUSAGE,379,14.6,1.29,1.29,13.4,15.9,3.46,120
07928,SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216,13.6,8.1,1.9,4.8,7.165,0.846,120
13810,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",302,30.12,0,0,7.62,8.276,0.73,120
17044,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",346,30.39,0,,9.87,10.18,1.71,120
17247,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",337,31.1,0,,9.21,9.63,1.6,120
35084,"OIL,WALRUS (ALASKA NATIVE)",900,0,0,,,,,120
13345,"BEEF,CURED,BRKFST STRIPS,CKD",449,31.3,1.4,0,14.35,16.85,1.58,119
13814,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD",295,30.05,0,0,7.337,7.969,0.704,119
17133,"VEAL,SHLDR,BLADE,LN,CKD,RSTD",171,25.64,0,,2.57,2.47,0.56,119
17373,"LAMB,NZ,IMP,HEART,RAW",105,18.09,0,0,0.995,0.517,0.646,119
05357,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT & SKN",251,20.29,0.4,0.4,4.953,7.895,2.507,118
05723,"TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,CKD,RSTD",173,28.61,0,0,1.707,2.63,2.187,118
07911,LIVERWURST SPRD,305,12.38,5.89,1.65,9.925,12.286,2.427,118
11658,SPINACH SOUFFLE,172,7.89,5.9,1.85,6.091,3.021,0.61,118
17091,"VEAL,COMP OF RTL CUTS,LN,CKD",196,31.9,0,0,1.84,2.35,0.59,118
17105,"VEAL,LOIN,LN&FAT,CKD,BRSD",284,30.19,0,0,6.73,6.73,1.16,118
21432,"KFC,FRIED CHICK,EX CRISPY,THIGH,MEAT ONLY,SKN & BRDING RMVD",179,22.41,0,,2.709,4.164,2.267,118
05693,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT ONLY",212,21.85,0.31,0.31,3.613,5.885,2.044,117
17040,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,BRSD",283,32.81,0,,6.17,6.45,1.38,117
17056,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,BRSD",288,32.35,0,,6.37,6.74,1.46,117
17130,"VEAL,SHLDR,BLADE,LN&FAT,CKD,RSTD",186,25.15,0,,3.46,3.24,0.64,117
17151,"GAME MEAT,BEAVER,CKD,RSTD",212,34.85,0,0,2.07,1.89,1.35,117
17243,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",338,29.46,0,,9.71,9.72,1.88,117
18155,"COOKIES,BUTTER,COMMLY PREP,ENR",467,6.1,68.9,20.24,11.051,5.522,0.982,117
18421,"COOKIES,BUTTER,COMMLY PREP,UNENR",467,6.1,68.9,,11.051,5.522,0.982,117
21435,"KFC,FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT & SKN W/ BRDING",239,22.3,5.39,,3.24,5.115,4.29,117
23085,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",181,32.96,0,0,2.238,2.695,0.493,117
23445,"BEEF,NZ,IMP,TRIPE UNCKD,RAW",77,14.86,0,0,1.02,0.77,0.17,117
01020,"CHEESE,FONTINA",389,25.6,1.55,1.55,19.196,8.687,1.654,116
05722,"TURKEY,RTL PARTS,THIGH,MEAT ONLY,CKD,RSTD",159,25.14,0.46,0,2.02,2.31,1.92,116
05743,"TURKEY,RTL PARTS,THIGH,MEAT & SKN,CKD,RSTD",183,23.95,0.41,0,2.96,3.593,2.949,116
05746,"CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD",157,32.06,0,0,1.01,1.275,0.791,116
13373,"BEEF,CHUCK,ARM POT RST,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",297,28.94,0,0,7.548,8.175,0.708,116
17036,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",344,28.68,0,,10.34,10.04,2,116
17052,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",345,28.51,0,,10.29,10.1,2.03,116
17251,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",339,28.92,0,,9.88,9.74,1.97,116
17275,"VEAL,BREAST,WHL,BNLESS,LN,CKD,BRSD",218,30.32,0,,3.72,4.508,0.788,116
17411,"LAMB,NZ,IMP,NECK CHOPS,LN & FAT,CKD,BRSD",307,28.53,0.03,0,8.74,5.916,0.853,116
18269,"FRENCH TOAST,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",229,7.7,25,,2.723,4.524,2.594,116
43287,"DOVE,CKD (INCL SQUAB)",213,23.9,0,0,3.739,5.462,2.733,116
05179,"TURKEY FROM WHL,NECK,MEAT ONLY,RAW",125,16.51,0,0,1.647,1.824,1.478,115
05735,"TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD",235,28.74,0.13,0,3.656,4.765,3.836,115
13375,"BEEF,CHUCK,ARM POT RST,LN & FAT,0"" FAT,SEL,CKD,BRSD",283,29.23,0,0,6.911,7.551,0.649,115
15061,"PERCH,MXD SP,CKD,DRY HEAT",117,24.86,0,,0.237,0.195,0.472,115
17071,"LAMB,NZ,IMP,FORE-SHANK,LN,CKD,BRSD",209,33.31,0,0,2.631,2.269,0.506,115
17115,"VEAL,RIB,LN,CKD,RSTD",177,25.76,0,,2.08,2.66,0.67,115
17390,"LAMB,NZ,IMP,HIND-SHANK,LN,CKD,BRSD",196,32.5,0,0,2.361,2.17,0.498,115
19408,"PORK SKINS,BARBECUE-FLAVOR",538,57.9,1.6,,11.56,15.03,3.45,115
23086,"BEEF,CHK,MOCK TENDER STK,BNLS,LN,0"" FAT,ALL GRDS,CKD,BRSD",190,33.31,0,0,2.52,3.043,0.511,115
23121,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN & FAT,0"" FAT,SEL,CKD,",211,31.86,0,0,3.263,3.782,1.012,115
01022,"CHEESE,GOUDA",356,24.94,2.22,2.22,17.614,7.747,0.657,114
05317,"DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD",217,26.75,0,,2.975,5.617,1.896,114
15145,"CRAYFISH,MXD SP,WILD,RAW",77,15.97,0,0,0.159,0.174,0.293,114
17006,"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4""FAT,CHOIC,CKD",586,12.16,0,0,27.02,24.4,4.48,114
17079,"LAMB,NZ,IMP,FRZ,LOIN,LN,CKD,BRLD",199,29.31,0,,3.58,3.22,0.47,114
17089,"VEAL,COMP OF RTL CUTS,LN&FAT,CKD",231,30.1,0,0,4.28,4.4,0.8,114
17121,"VEAL,SHLDR,WHL (ARM&BLD),LN,CKD,RSTD",170,25.81,0,,2.5,2.4,0.53,114
17274,"VEAL,BREAST,POINT HALF,BNLESS,LN&FAT,CKD,BRSD",248,28.23,0,,5.489,6.698,0.996,114
18246,"DANISH PASTRY,FRUIT,ENR",371,5.4,47.8,27.53,4.86,10.026,2.364,114
21459,"POPEYES,FRIED CHICK,MILD,WING,MEAT & SKN W/ BREADING",338,20.4,13.52,0,8.021,9.796,2.362,114
21472,"FAST FOODS,FRIED CHICK,WING,MEAT & SKN & BREADING",310,21.14,11.19,0,5.358,9.753,3.354,114
05685,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,RAW",386,11.11,0.01,0,10.565,17.099,8.195,113
17101,"VEAL,LEG (TOP RND),LN,CKD,PAN-FRIED,BREADED",216,28.41,9.84,0.57,1.6,2.16,1.35,113
17118,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,RSTD",184,25.32,0,,3.4,3.16,0.61,113
17138,"VEAL,SIRLOIN,LN,CKD,BRSD",204,33.96,0,,1.82,2.33,0.58,113
17261,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,1/8""FAT,CKD,BRLD",296,24.41,0,,10.56,8.2,0.99,113
17272,"VEAL,BREAST,WHL,BNLESS,LN&FAT,CKD,BRSD",266,26.97,0,,6.55,8.012,1.12,113
17346,"GAME MEAT,DEER,SHLDR CLOD,LN,3-5 LB RST,CKD,BRSD",191,36.28,0,0,2.239,0.895,0.262,113
21437,"KFC,FRIED CHICK,ORIGINAL RECIPE,WING,MEAT & SKN W/ BREADING",297,21.7,9.93,0,4.251,9.595,3.669,113
23084,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD",197,33.55,0,0,2.708,3.275,0.522,113
23119,"BEEF,CHK,MOCK TNDR STK,BNL,LN & FAT,0"" FAT,ALL GRDS, CKD",220,32.07,0,0,3.638,4.225,1.044,113
05003,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",272,28.57,3.27,,4.16,5.99,3.51,112
15163,"CUTTLEFISH,MXD SP,RAW",79,16.24,0.82,,0.118,0.081,0.134,112
17077,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,CKD,BRLD",315,23.43,0,0,11.96,9.2,1.09,112
17096,"VEAL,LEG (TOP RND),LN&FAT,CKD,PAN-FRIED,BREADED",238,27.29,9.91,0.57,3.06,3.39,1.49,112
17165,"GAME MEAT,DEER,CKD,RSTD",158,30.21,0,,1.25,0.88,0.62,112
17273,"VEAL,BREAST,PLATE HALF,BNLESS,LN&FAT,CKD,BRSD",282,25.93,0,,7.434,9.107,1.224,112
21035,"FAST FOODS,CHICK,BREADED&FRIED,DK MEAT (DRUMSTK OR THIGH)",291,20.32,10.61,,4.763,7.385,4.272,112
23120,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,CK",225,32.21,0,0,3.888,4.521,1.066,112
01052,"CREAM,FLUID,LT WHIPPING",292,2.17,2.96,2.96,19.337,9.093,0.884,111
05100,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,RAW",191,17.52,0,0,4.061,6.228,2.868,111
05714,"TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,RAW",380,14.35,0,0,10.216,13.952,10.91,111
10861,"PORK,CURED,BACON,CKD,MICROWAVED",476,39.01,0.48,0,11.644,15.235,5.602,111
17325,"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN,1/8""FAT,CKD,BRSD",238,34.17,0,,4.173,4.16,0.499,111
17333,"GAME MEAT,BISON,CHUCK,SHLDR CLOD,LN,3-5 LB RST,CKD,BRSD",193,33.78,0,0,2.32,2.122,0.255,111
17403,"LAMB,NZ,IMP,HIND-SHANK,LN & FAT,CKD,BRSD",247,29.59,0.04,0,5.405,4.055,0.693,111
21470,"FAST FOODS,FRIED CHICK,DRUMSTK,MEAT & SKN W/ BREADING",267,21.13,7.59,0,4.458,6.446,4.408,111
01017,"CHEESE,CREAM",342,5.93,4.07,3.21,19.292,8.62,1.437,110
01023,"CHEESE,GRUYERE",413,29.81,0.36,0.36,18.913,10.043,1.733,110
05701,"TURKEY,ENHANCED,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",199,25.55,0,0,3.145,3.887,3.097,110
10109,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LEAF FAT,RAW",857,1.76,0,,45.23,37.22,7.28,110
15204,"PIKE,WALLEYE,CKD,DRY HEAT",119,24.54,0,,0.319,0.377,0.573,110
17069,"LAMB,NZ,IMP,FORE-SHANK,LN & FAT,CKD,BRSD",256,30.35,0.03,0,5.56,4.119,0.697,110
17112,"VEAL,RIB,LN&FAT,CKD,RSTD",228,23.96,0,,5.41,5.44,0.95,110
43378,"PORK,CURED,BACON,CKD,BRLD,PAN-FRIED OR RSTD,RED NA",541,37.04,1.43,0,13.739,18.52,4.548,110
04001,"FAT,BEEF TALLOW",902,0,0,0,49.8,41.8,4,109
05015,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW",349,13.33,0,0,9.08,13.54,6.81,109
05166,"TURKEY,WHL,MEAT & SKN,CKD,RSTD",189,28.55,0.06,0,2.155,2.647,2.119,109
17063,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,CKD",305,24.42,0,,11.05,8.59,1.04,109
17065,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,CKD",206,29.59,0,,3.86,3.48,0.52,109
17067,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,CKD",586,9.72,0,,31.51,23.15,2.52,109
17127,"VEAL,SHLDR,ARM,LN,CKD,RSTD",164,26.13,0,,2.31,2.16,0.43,109
17163,"GAME MEAT,CARIBOU,CKD,RSTD",167,29.77,0,0,1.7,1.33,0.62,109
21363,"MCDONALD'S,DELUXE BRKFST,W/ SYRUP & MARGARINE",285,7.56,29.48,9.88,4.642,5.217,2.811,109
