NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
09426,CANDIED FRUIT,322,0.34,82.74,80.68,0.01,0.008,0.02,0
09431,"USDA CMDTY,MXD FRUIT (PEACH,PEARS,GRAPES),CND,LT SYRUP,DRND",57,0.46,14.65,11.25,0.01,,,0
09432,"USDA CMDTY,MXD FRUIT (PEACH,PEAR,GRAPE),CND,LT SYR,SOL & LIQ",55,0.41,14.3,11.46,0.01,,,0
09434,"GUANABANA NECTAR,CND",59,0.11,14.93,13.07,0.029,0.051,0.039,0
09435,"GUAVA NECTAR,CND",63,0.09,16.25,12.95,0.02,0.02,0.01,0
09436,"MANGO NECTAR,CND",51,0.11,13.12,12.45,0.014,0.022,0.011,0
09437,"TAMARIND NECTAR,CND",57,0.09,14.73,12.7,,,,0
09442,"POMEGRANATE JUC,BTLD",54,0.15,13.13,12.65,0.077,0.059,0.05,0
09443,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C",50,0.16,12.46,10.92,0.023,0.005,0.032,0
09444,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA",52,0.17,12.96,9.95,0.021,0.005,0.04,0
09452,ORANGE PNAPPL JUC BLEND,51,0.41,12.2,10.57,0.011,0.009,0.024,0
09506,"ORANGE JUC,CHILLED,INCL FROM CONC,W/ ADD CA & VITAMINS A,D,E",49,0.68,11.54,8.31,0.014,0.022,0.03,0
09507,"JUICE SMOOTHIE,NAKED JUC,MIGHTY MANGO",63,0.42,15,12.5,0,,,0
09508,"JUICE SMOOTHIE,NAKED JUC,GRN MACHINE",58,0.83,13.75,11.67,0,,,0
09510,"PINEAPPLE JUC,DOLE,CND,NOT FROM CONC,UNSWTND,W/ ADD VITA,C,E",57,0.36,12.18,9.98,0,,,0
09511,"JUICE SMOOTHIE,NAKED JUC,BLUE MACHINE",71,0.42,16.67,12.08,0,,,0
09512,"GRAPE JUC,CND OR BTLD,W/ ADDED VIT C & CA",62,0.37,14.77,14.2,0.025,0.003,0.022,0
09514,"JUICE SMOOTHIE,BOLTHOUSE FARMS,BERRY BOOST",46,0.63,10.9,9.3,0.003,0.002,0.011,0
09515,"JUICE SMOOTHIE,BOLTHOUSE FARMS,GRN GOODNESS",56,0.68,13.1,11.9,0.024,0.018,0.028,0
09516,"JUICE SMOOTHIE,BOLTHOUSE FARMS,STRAWBERRY BANANA",55,0.31,12.76,10.99,0,0,0,0
09518,"RASPBERRIES,FRZ,UNSWTND",52,1.2,11.94,4.42,,,,0
11001,"ALFALFA SEEDS,SPROUTED,RAW",23,3.99,2.1,0.2,0.069,0.056,0.409,0
11003,"AMARANTH LEAVES,RAW",23,2.46,4.02,,0.091,0.076,0.147,0
11004,"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",21,2.11,4.11,,0.05,0.041,0.08,0
11005,"ARROWHEAD,RAW",99,5.33,20.23,,,,,0
11006,"ARROWHEAD,CKD,BLD,DRND,WO/SALT",78,4.49,16.14,,,,,0
11007,"ARTICHOKES,(GLOBE OR FRENCH),RAW",47,3.27,10.51,0.99,0.036,0.005,0.064,0
11008,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",53,2.89,11.95,0.99,0.081,0.011,0.143,0
11009,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",38,2.63,7.75,,0.099,0.012,0.179,0
11010,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",45,3.11,9.18,0.84,0.119,0.015,0.216,0
11011,"ASPARAGUS,RAW",20,2.2,3.88,1.88,0.04,0,0.05,0
11012,"ASPARAGUS,CKD,BLD,DRND",22,2.4,4.11,1.3,0.048,0,0.105,0
11013,"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",15,1.8,2.48,,0.044,0.006,0.085,0
11015,"ASPARAGUS,CND,DRND SOL",19,2.14,2.46,1.06,0.147,0.021,0.284,0
11018,"ASPARAGUS,FRZ,UNPREP",24,3.23,4.1,,0.052,0.007,0.101,0
11019,"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",18,2.95,1.92,0.32,0.096,0.013,0.185,0
11022,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",30,5.3,3.29,,,,,0
11023,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",34,3.6,6.68,1.04,0.032,0.005,0.083,0
11024,"BALSAM-PEAR (BITTER GOURD),PODS,RAW",17,1,3.7,,,,,0
11025,"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT",19,0.84,4.32,1.95,0.014,0.033,0.078,0
11026,"BAMBOO SHOOTS,RAW",27,2.6,5.2,3,0.069,0.007,0.134,0
11027,"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",12,1.53,1.92,,0.051,0.005,0.098,0
